날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2003-04-30,472.6633,441.31049,73.053,105.494,2549.52,460.09
2003-03-31,443.46552,402.17831,69.709,98.569,2422.98,430.01001
2003-02-28,435.13589,403.3446,68.135,98.649,2415.14,426.23999
2003-01-31,437.1459,415.65689,69.642,99.353,2455.12,437.09
2002-12-31,448.83411,427.98489,71.228,102.187,2508.79,454.48001
2002-11-29,480.862,452.1976,71.183,107.152,2520.35,467.89999
2002-10-31,459.09491,423.51639,73.137,102.836,2531.27,450.29999
2002-09-30,420.59631,391.82739,72.486,93.086,2462.77,433.76001
2002-08-30,469.8782,443.04141,79.219,103.633,2675.03,476.70999
2002-07-31,467.36771,441.1264,77.619,103.649,2652.15,476.5
2002-06-28,491.35101,495.3027,83.335,108.593,2827.6,508.64999
2002-05-31,534.89642,529.33539,89.276,116.581,2929.54,534.29999
2002-04-30,545.99323,528.52802,91.276,116.969,2950.54,534.09003
2002-03-29,588.42548,556.99213,91.165,121.942,2960.68,538.47998
2002-02-28,575.19128,530.31128,87.468,118.498,2836.51,526.06
2002-01-31,593.31488,536.1546,86.95,118.041,2770.25,510.13
2001-12-31,594.6059,552.02759,85.397,119.354,2782.41,504.23999
2001-11-30,594.38,544.46997,83.054,118.111,2695.34,494.20001
2001-10-31,546.45001,513.07001,78.818,111.686,2614.21,461.31
2001-09-28,527.48999,513.64001,80.303,109.414,2639.33,463.09
2001-08-31,566,568.19,84.653,115.01,2772.83,485.79001
2001-07-31,607.27002,604.48999,87.304,120.05,2780.38,492.20001
2001-06-29,609.47998,615.65997,88.859,119.079,2795.91,474.01001
2001-05-31,618.08002,636.89001,92.731,120.852,2871.79,480.07001
2001-04-30,617.09998,631.76001,91.616,119.166,2780.72,456.89001
2001-03-30,566.78003,592.27002,87.899,113.583,2645.84,443.85999
2001-02-28,623.41998,617.21997,96.167,118.994,2685.29,456.29999
2001-01-31,706.81,662.25,122.338,123.987,2618.03,453.06
2000-12-29,687.54999,636.15002,117.012,125.095,2740.28,455.01001
2000-11-30,719.09003,605.66998,121.022,122.262,2554.62,422.48999
2000-10-31,805.09003,639.66998,143.272,123.001,2519.49,419.34
2000-09-29,826.78998,628.71002,153.197,117.441,2466.17,392.23001
2000-08-31,916.59998,629.54999,171.889,118.452,2397.17,395
2000-07-31,866.90002,591.31,155.48,114.194,2239.71,385.73001
2000-06-30,907.67999,580.33002,155.913,117.872,2214.46,381.14001
2000-05-31,840.12,604.95001,144.711,110.99,2318.01,404.41
2000-04-28,876.32001,604.52002,156.453,109.137,2217.75,388.03
2000-03-31,922.40002,609.21002,164.048,108.01,2122.83,386.14999
2000-02-29,844.82001,552.52002,150.341,101.163,1948.3,345.26001
2000-01-31,827.78003,590.63,138.975,106.441,2186.05,380.17001
1999-12-31,887.28998,610.60999,147.604,106.873,2270.66,413.17001
1999-11-30,826.56,589.42999,128.103,106.151,2313.41,418.60001
1999-10-29,793.19,594.03998,119.052,103.039,2446.92,423.72
1999-09-30,742.21002,562.85999,114.868,96.41,2352.54,400.04001
1999-08-31,755.79999,586.59003,114.273,102.723,2485.18,421.34
1999-07-30,745.91998,603.09003,113.147,101.658,2517.61,437.44
1999-06-30,770.90002,622.78998,116.29,104.215,2587.99,451.45001
1999-05-31,719.97998,600.48999,106.951,99.773,2587.08,447.87
1999-04-30,742.09003,612.60999,110.942,101.763,2518.98,451.73999
1999-03-31,743.79999,564.65997,111.192,99.929,2326.71,423.78
